Metric Id,CPU Core1 Utilization,CPU Core1 Speed,CPU Core2 Utilization,CPU Core2 Speed,AMD Radeon HD 7480D Utilization,AMD Radeon HD 7480D Speed,AMD Radeon HD 7480D Memory Speed,AMD Radeon HD 7480D Temperature,
18/07/2021 2:26:46 am,22,3400,21,3400,0,304,667,15000,
18/07/2021 2:26:47 am,41,3400,41,3400,29,304,667,17000,
18/07/2021 2:26:48 am,53,3400,50,3400,33,304,667,19000,
18/07/2021 2:26:49 am,68,3400,72,3400,0,304,667,19000,
18/07/2021 2:26:50 am,82,3400,82,3400,7,304,667,20000,
18/07/2021 2:26:51 am,90,3400,88,3400,0,304,667,23000,
18/07/2021 2:26:52 am,21,3400,20,3400,0,304,667,16000,
18/07/2021 2:26:53 am,36,3400,43,3400,22,723,667,17000,
18/07/2021 2:26:54 am,64,3400,74,3400,0,304,667,20000,
18/07/2021 2:26:55 am,76,3400,92,3400,0,304,667,21000,
18/07/2021 2:26:56 am,76,3400,73,3400,0,304,667,22000,
18/07/2021 2:26:57 am,81,3400,84,3400,0,304,667,22000,
18/07/2021 2:26:58 am,41,3400,43,3400,2,304,667,18000,
18/07/2021 2:26:59 am,46,3400,55,3400,8,304,667,21000,
18/07/2021 2:27:00 am,74,3400,71,3400,11,304,667,22000,
18/07/2021 2:27:01 am,84,3400,87,3400,0,304,667,23000,
18/07/2021 2:27:02 am,62,3400,75,3400,15,304,667,21000,
18/07/2021 2:27:03 am,15,3400,26,3400,15,304,667,20000,
18/07/2021 2:27:04 am,24,3400,34,3400,16,608,667,21000,
18/07/2021 2:27:05 am,31,3400,35,3400,11,723,667,21000,
18/07/2021 2:27:06 am,39,3400,39,3400,15,723,667,22000,
18/07/2021 2:27:07 am,37,3400,46,3400,14,723,667,21000,
18/07/2021 2:27:08 am,36,3400,39,3400,17,723,667,22000,
18/07/2021 2:27:09 am,32,3400,39,3400,19,723,667,22000,
18/07/2021 2:27:10 am,33,3400,40,3400,15,608,667,21000,
18/07/2021 2:27:11 am,29,3400,42,3400,19,304,667,21000,
18/07/2021 2:27:12 am,43,3400,36,3400,17,304,667,22000,
18/07/2021 2:27:13 am,39,3400,40,3400,14,304,667,22000,
18/07/2021 2:27:14 am,47,3400,44,3400,26,304,667,23000,
18/07/2021 2:27:15 am,36,3400,39,3400,23,304,667,21000,
18/07/2021 2:27:16 am,39,3400,44,3400,28,304,667,22000,
18/07/2021 2:27:17 am,47,3400,64,3400,17,723,667,24000,
18/07/2021 2:27:18 am,73,3400,70,3400,50,723,667,26000,
18/07/2021 2:27:19 am,30,3400,42,3400,14,304,667,22000,
18/07/2021 2:27:20 am,38,3400,38,3400,5,304,667,22000,
18/07/2021 2:27:21 am,16,3400,21,3400,12,304,667,21000,
18/07/2021 2:27:22 am,13,3400,23,3400,15,304,667,21000,
18/07/2021 2:27:23 am,18,3400,26,3400,12,304,667,20000,
18/07/2021 2:27:24 am,28,3400,35,3400,23,608,667,19000,
18/07/2021 2:27:25 am,46,3400,63,3400,17,723,667,24000,
18/07/2021 2:27:26 am,51,3400,55,3400,28,304,667,24000,
18/07/2021 2:27:27 am,46,3400,46,3400,18,304,667,24000,
18/07/2021 2:27:28 am,65,3400,58,3400,48,304,667,25000,
18/07/2021 2:27:29 am,63,3400,71,3400,35,723,667,25000,
18/07/2021 2:27:30 am,61,3400,55,3400,29,723,667,25000,
18/07/2021 2:27:31 am,69,3400,54,3400,37,723,667,25000,
18/07/2021 2:27:32 am,45,3400,57,3400,23,723,667,24000,
18/07/2021 2:27:33 am,67,3400,65,3400,35,304,667,25000,
18/07/2021 2:27:34 am,60,3400,59,3400,98,723,667,27000,
18/07/2021 2:27:35 am,62,3400,69,3400,95,723,667,27000,
18/07/2021 2:27:36 am,62,3400,70,3400,89,723,667,28000,
18/07/2021 2:27:37 am,50,3400,63,3400,82,723,667,27000,
18/07/2021 2:27:38 am,59,3400,64,3400,79,723,667,28000,
18/07/2021 2:27:39 am,58,3400,61,3400,75,723,667,28000,
18/07/2021 2:27:40 am,62,3400,70,3400,88,723,667,28000,
18/07/2021 2:27:41 am,59,3400,62,3400,85,723,667,28000,
18/07/2021 2:27:42 am,77,3400,73,3400,82,723,667,29000,
18/07/2021 2:27:43 am,64,3400,67,3400,87,723,667,29000,
18/07/2021 2:27:44 am,66,3400,71,3400,92,723,667,30000,
18/07/2021 2:27:45 am,72,3400,63,3400,98,723,667,30000,
18/07/2021 2:27:46 am,63,3400,71,3400,99,723,667,30000,
18/07/2021 2:27:47 am,68,3400,64,3400,98,723,667,30000,
18/07/2021 2:27:48 am,74,3400,73,3400,81,723,667,31000,
18/07/2021 2:27:49 am,72,3400,72,3400,80,723,667,31000,
18/07/2021 2:27:50 am,72,3400,75,3400,91,723,667,31000,
18/07/2021 2:27:51 am,66,3400,66,3400,83,723,667,31000,
18/07/2021 2:27:52 am,67,3400,67,3400,77,723,667,30000,
18/07/2021 2:27:53 am,59,3400,65,3400,98,723,667,31000,
18/07/2021 2:27:54 am,58,3400,64,3400,71,723,667,31000,
18/07/2021 2:27:55 am,60,3400,63,3400,71,723,667,30000,
18/07/2021 2:27:56 am,56,3400,57,3400,85,723,667,30000,
18/07/2021 2:27:58 am,71,3400,76,3400,80,723,667,31000,
18/07/2021 2:27:59 am,51,3400,54,3400,80,723,667,31000,
18/07/2021 2:28:00 am,58,3400,58,3400,94,723,667,31000,
18/07/2021 2:28:01 am,50,3400,65,3400,77,723,667,31000,
18/07/2021 2:28:02 am,46,3400,58,3400,78,723,667,31000,
18/07/2021 2:28:03 am,54,3400,50,3400,64,723,667,31000,
18/07/2021 2:28:04 am,50,3400,59,3400,69,723,667,30000,
18/07/2021 2:28:05 am,45,3400,60,3400,68,723,667,30000,
18/07/2021 2:28:06 am,55,3400,57,3400,62,723,667,30000,
18/07/2021 2:28:07 am,47,3400,61,3400,79,723,667,31000,
18/07/2021 2:28:08 am,76,3400,75,3400,84,723,667,32000,
18/07/2021 2:28:09 am,66,3400,61,3400,83,723,667,32000,
18/07/2021 2:28:10 am,57,3400,65,3400,98,723,667,32000,
18/07/2021 2:28:11 am,62,3400,60,3400,95,723,667,32000,
18/07/2021 2:28:12 am,51,3400,47,3400,70,723,667,31000,
18/07/2021 2:28:13 am,39,3400,53,3400,72,723,667,31000,
18/07/2021 2:28:14 am,48,3400,59,3400,71,723,667,31000,
18/07/2021 2:28:15 am,50,3400,60,3400,80,723,667,31000,
18/07/2021 2:28:16 am,49,3400,57,3400,73,723,667,32000,
18/07/2021 2:28:17 am,62,3400,65,3400,97,723,667,31000,
18/07/2021 2:28:18 am,67,3400,64,3400,59,723,667,32000,
18/07/2021 2:28:19 am,74,3400,74,3400,92,723,667,32000,
18/07/2021 2:28:20 am,71,3400,68,3400,60,723,667,32000,
18/07/2021 2:28:21 am,65,3400,71,3400,59,723,667,32000,
18/07/2021 2:28:22 am,65,3400,68,3400,66,723,667,32000,
18/07/2021 2:28:23 am,57,3400,68,3400,58,723,667,32000,
18/07/2021 2:28:24 am,55,3400,66,3400,56,723,667,32000,
18/07/2021 2:28:25 am,56,3400,59,3400,68,723,667,32000,
18/07/2021 2:28:26 am,55,3400,55,3400,62,723,667,32000,
18/07/2021 2:28:27 am,57,3400,64,3400,97,723,667,33000,
18/07/2021 2:28:28 am,72,3400,66,3400,93,723,667,32000,
18/07/2021 2:28:29 am,81,3400,76,3400,98,723,667,33000,
18/07/2021 2:28:30 am,59,3400,62,3400,92,723,667,33000,
18/07/2021 2:28:31 am,43,3400,54,3400,83,723,667,32000,
18/07/2021 2:28:32 am,48,3400,51,3400,91,723,667,32000,
18/07/2021 2:28:33 am,47,3400,55,3400,78,723,667,32000,
18/07/2021 2:28:34 am,45,3400,54,3400,93,723,667,31000,
18/07/2021 2:28:35 am,34,3400,48,3400,85,304,667,31000,
18/07/2021 2:28:36 am,44,3400,47,3400,54,723,667,31000,
18/07/2021 2:28:37 am,47,3400,53,3400,95,723,667,32000,
18/07/2021 2:28:38 am,55,3400,53,3400,98,723,667,31000,
18/07/2021 2:28:39 am,46,3400,46,3400,98,723,667,31000,
18/07/2021 2:28:40 am,37,3400,54,3400,92,723,667,32000,
18/07/2021 2:28:41 am,50,3400,53,3400,43,723,667,31000,
18/07/2021 2:28:42 am,47,3400,53,3400,99,723,667,32000,
18/07/2021 2:28:43 am,49,3400,57,3400,64,723,667,32000,
18/07/2021 2:28:44 am,49,3400,57,3400,54,723,667,32000,
18/07/2021 2:28:45 am,54,3400,44,3400,99,723,667,32000,
18/07/2021 2:28:46 am,48,3400,64,3400,67,723,667,32000,
18/07/2021 2:28:47 am,49,3400,62,3400,59,723,667,32000,
18/07/2021 2:28:48 am,52,3400,57,3400,65,723,667,33000,
18/07/2021 2:28:49 am,56,3400,62,3400,68,723,667,32000,
18/07/2021 2:28:50 am,53,3400,59,3400,78,723,667,32000,
18/07/2021 2:28:51 am,48,3400,53,3400,87,304,667,32000,
18/07/2021 2:28:52 am,46,3400,62,3400,86,304,667,32000,
18/07/2021 2:28:53 am,55,3400,65,3400,95,304,667,32000,
18/07/2021 2:28:54 am,82,3400,93,3400,69,723,667,33000,
18/07/2021 2:28:55 am,70,3400,74,3400,98,723,667,32000,
18/07/2021 2:28:56 am,56,3400,66,3400,72,723,667,33000,
18/07/2021 2:28:57 am,70,3400,72,3400,65,723,667,33000,
18/07/2021 2:28:58 am,69,3400,68,3400,80,723,667,33000,
18/07/2021 2:28:59 am,59,3400,67,3400,79,723,667,32000,
18/07/2021 2:29:00 am,61,3400,61,3400,87,304,667,32000,
18/07/2021 2:29:01 am,55,3400,59,3400,95,723,667,32000,
18/07/2021 2:29:02 am,89,3400,87,3400,60,723,667,33000,
18/07/2021 2:29:03 am,100,3400,100,3400,92,304,667,34000,
18/07/2021 2:29:04 am,86,3400,92,3400,92,608,667,33000,
18/07/2021 2:29:05 am,96,3400,100,3400,82,723,667,34000,
18/07/2021 2:29:06 am,100,3400,98,3400,71,723,667,34000,
18/07/2021 2:29:07 am,73,3400,82,3400,91,723,667,33000,
18/07/2021 2:29:08 am,58,3400,69,3400,87,723,667,32000,
18/07/2021 2:29:09 am,62,3400,62,3400,72,723,667,33000,
18/07/2021 2:29:10 am,77,3400,76,3400,78,723,667,33000,
18/07/2021 2:29:11 am,87,3400,83,3400,76,723,667,34000,
18/07/2021 2:29:12 am,73,3400,73,3400,56,723,667,33000,
18/07/2021 2:29:13 am,71,3400,73,3400,77,723,667,33000,
18/07/2021 2:29:14 am,69,3400,72,3400,74,723,667,33000,
18/07/2021 2:29:15 am,73,3400,74,3400,79,723,667,33000,
18/07/2021 2:29:16 am,77,3400,78,3400,93,723,667,33000,
18/07/2021 2:29:17 am,89,3400,79,3400,97,723,667,33000,
18/07/2021 2:29:18 am,85,3400,95,3400,76,723,667,34000,
18/07/2021 2:29:19 am,80,3400,77,3400,79,723,667,33000,
18/07/2021 2:29:20 am,56,3400,64,3400,99,723,667,32000,
18/07/2021 2:29:21 am,47,3400,50,3400,98,723,667,33000,
18/07/2021 2:29:22 am,52,3400,52,3400,89,723,667,33000,
18/07/2021 2:29:23 am,56,3400,56,3400,80,723,667,33000,
18/07/2021 2:29:24 am,65,3400,63,3400,91,723,667,33000,
18/07/2021 2:29:25 am,52,3400,65,3400,93,723,667,33000,
18/07/2021 2:29:26 am,65,3400,62,3400,0,304,667,32000,
18/07/2021 2:29:28 am,96,3400,94,3400,6,304,667,31000,
18/07/2021 2:29:29 am,81,3400,72,3400,9,608,667,31000,
18/07/2021 2:29:30 am,100,3400,96,3400,9,304,667,30000,
